District,Population,Density,Annual_Income,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Burger King,Mc Donalds,KFC,Segment
Adalar,16372,1482,79821,10,4,48,17,50,52,10,20,97,0,0,0,1
Arnavutköy,312023,693,24360,16,25,81,10,48,102,22,96,11,5,0,0,1
Bahçelievler,605300,36420,56088,0,0,0,0,0,1,0,0,0,8,2,3,1
Başakşehir,503243,4825,54152,4,28,79,7,49,95,55,57,5,7,0,3,1
Beykoz,248595,801,44316,6,14,30,18,45,77,8,21,6,2,1,2,1
Büyükçekmece,269160,1934,44049,12,15,156,48,74,58,38,52,25,4,1,1,1
Çatalca,76131,68,25536,6,11,88,13,49,110,54,82,12,0,0,0,1
Çekmeköy,288585,1949,42033,9,6,80,4,42,53,38,47,6,4,2,0,1
Kartal,480738,12474,49443,1,0,5,0,1,5,0,4,2,6,3,1,1
Sancaktepe,474668,7604,31602,8,16,54,9,38,88,29,33,5,3,0,0,1
Sarıyer,349968,1995,87696,11,14,97,9,59,73,12,58,18,7,2,4,1
Şile,41627,53,29789,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuzla,284443,2301,40884,8,4,16,10,5,7,1,6,3,4,2,1,1
