District,Annual_Income,Population,Total_Venues,Total_Competitors,Segment
Adalar,79821,16372,312,0,Rare
Arnavutköy,24360,312023,420,5,Rare
Avcılar,43938,457981,806,8,Rare
Bahçelievler,56088,605300,1,13,Rare
Başakşehir,54152,503243,381,10,Rare
Bayrampaşa,41762,274884,788,6,Rare
Beykoz,44316,248595,228,5,Rare
Beylikdüzü,51924,398122,614,10,Rare
Büyükçekmece,44049,269160,484,6,Rare
Çatalca,25536,76131,429,0,Rare
Çekmeköy,42033,288585,289,6,Rare
Esenler,34164,447116,745,1,Rare
Eyüpsultan,56044,417360,549,13,Rare
Gaziosmanpaşa,36228,493096,498,5,Rare
Güngören,40656,283083,651,5,Rare
Kağıthane,50260,454550,681,7,Rare
Kartal,49443,480738,18,10,Rare
Sancaktepe,31602,474668,283,3,Rare
Silivri,28464,209014,645,2,Rare
Sultanbeyli,26064,349485,490,3,Rare
Sultangazi,26244,543380,633,4,Rare
Şile,29789,41627,0,0,Rare
Tuzla,40884,284443,63,7,Rare
Zeytinburnu,43730,293839,725,4,Rare
