District,Population,Area,Density,Mensual_Household_Income,Annual_Income
Adalar,16372,11,1482,6652,79821
Arnavutköy,312023,450,693,2030,24360
Ataşehir,427217,25,16933,6577,78924
Avcılar,457981,42,10902,3662,43938
Bağcılar,744351,22,33289,3197,38367
Bahçelievler,605300,16,36420,4674,56088
Bakırköy,228759,29,7718,8845,106140
Başakşehir,503243,104,4825,4513,54152
Bayrampaşa,274884,9,28604,3480,41762
Beşiktaş,178938,18,9935,10560,126720
Beykoz,248595,310,801,3693,44316
Beylikdüzü,398122,37,10538,4327,51924
Beyoğlu,233322,8,26187,4773,57275
Büyükçekmece,269160,139,1934,3671,44049
Çatalca,76131,1115,68,2128,25536
Çekmeköy,288585,148,1949,3503,42033
Esenler,447116,18,24260,2847,34164
Esenyurt,977489,43,22664,3024,36288
Eyüpsultan,417360,228,1827,4670,56044
Fatih,382990,15,24566,5281,63378
Gaziosmanpaşa,493096,11,41930,3019,36228
Güngören,283083,7,39263,3388,40656
Kadıköy,485233,25,19340,9025,108300
Kağıthane,454550,14,30568,4188,50260
Kartal,480738,38,12474,4120,49443
Küçükçekmece,805930,37,21469,3567,42804
Maltepe,525566,52,9922,5772,69259
Pendik,741895,179,4122,3055,36664
Sancaktepe,474668,62,7604,2633,31602
Sarıyer,349968,175,1995,7308,87696
Silivri,209014,869,240,2372,28464
Sultanbeyli,349485,29,11993,2172,26064
Sultangazi,543380,36,14969,2187,26244
Şile,41627,781,53,2482,29789
Şişli,284294,10,26545,7822,93864
Tuzla,284443,123,2301,3407,40884
Ümraniye,726758,45,16040,3637,43641
Üsküdar,525395,35,14871,6987,83839
Zeytinburnu,293839,11,25353,3644,6036
